movie,genre,compound
Reservoir Dogs,"action,crime,thriller","[0.0, -0.3818, 0.6908, -0.7906, -0.7964, -0.9906, -0.9874, -0.9652, -0.5106, 0.9212, -0.6728, -0.4404, 0.9337, 0.296, 0.936, 0.4404, 0.8591, -0.875, -0.4215, 0.6486, -0.8555, 0.6705, -0.765, -0.6486, -0.96, -0.981, 0.5267, 0.6249, 0.0772, -0.7964, -0.9468, -0.6705, -0.9854, -0.8957, -0.7096, 0.4215, -0.1154, 0.7096, 0.3182, -0.7351, -0.886, -0.872, -0.9705, -0.891, -0.9468, -0.9677, -0.9042, -0.7906, -0.1685, -0.6486, 0.1779, -0.5859, 0.0258, -0.9798, -0.8225, 0.0, -0.9638, 0.1779, -0.8636, 0.0, 0.5574, -0.8126, -0.9403, -0.8667, -0.9169, -0.5719, -0.1779, -0.25, -0.9583, -0.9666, -0.296, -0.9558, 0.0258, 0.802, 0.6808, 0.4588, -0.2023, 0.8402, 0.8357, -0.0498, -0.0772, 0.25, 0.2263, -0.8885, 0.7964, -0.9154, -0.9325, -0.872, -0.2263, -0.6542, 0.6249, 0.2023, 0.9022, 0.9081, 0.926, -0.743, -0.7184, -0.8313, -0.872, -0.836, -0.8689, -0.9806, 0.7096, -0.8481, -0.9477, -0.7845, -0.5423, 0.3612, 0.5106, -0.4404, -0.4939, -0.9062, -0.7184, -0.991, -0.4336, 0.6908, 0.7783, 0.4215, 0.5106, -0.1531, 0.6597, 0.6326, -0.7906, 0.0258, -0.128, 0.7269, -0.9393, -0.2732, -0.5678, -0.7506, 0.8807, -0.7964, -0.3818, 0.1531, -0.5095, -0.9186, -0.3744, 0.7717, 0.872, 0.2732, 0.5423, -0.1531, -0.5106, -0.5859, -0.9186, -0.9524, 0.3182, 0.8807, -0.6486, 0.7845, -0.6326, -0.9423, 0.0516, 0.9066, 0.9163, -0.8176, -0.6597, -0.7096, 0.974, -0.144, -0.6908, 0.8519, 0.2023, -0.0772, 0.9118, -0.6697, 0.5267, -0.8742, 0.8225, 0.4019, -0.4404, 0.0, -0.2732, -0.9468, -0.9022, -0.9866, -0.9371, -0.969, -0.4767, 0.9186, -0.6908, -0.4336, 0.4019, 0.3818, -0.6597, -0.7579, -0.4401, -0.4939, 0.2798, -0.1215, 0.5574, -0.8689, -0.6997, -0.9825, -0.9081, -0.9716, -0.765, -0.9661, 0.3612, -0.743]"
12,comedy,"[-0.3612, -0.296, -0.3182, -0.296, -0.4404, 0.2732, 0.8555, 0.4215, -0.1027, 0.7351, 0.7845, -0.5719, 0.8205, 0.296, 0.4404, 0.3182, 0.5859, 0.4939, 0.0, -0.4767, 0.5859, -0.296, 0.7003, -0.2023, -0.1779, -0.6908, -0.7783, -0.8519, 0.3612, 0.4215, -0.0258, -0.1027, 0.4404, 0.4215, -0.5719, 0.5106, -0.8481, -0.8074, -0.765, 0.0772, -0.0258, -0.4019, -0.4019, -0.34, 0.0, -0.296, 0.5106, -0.296, 0.2263, 0.5859, -0.3818, -0.3818, 0.0, 0.8126, 0.8834, -0.6705, 0.0, -0.5719, 0.0516, 0.3612, 0.128, 0.8481, -0.5994, 0.0, 0.0772, -0.0516, -0.2263, 0.5624, -0.0258, -0.1531, 0.886, -0.1045, 0.7003, 0.3818, -0.9337, 0.0, -0.3182, -0.0772, 0.4019, 0.9493, 0.9382, 0.7964, 0.6124, -0.5994, 0.4767, -0.1531, -0.5719, 0.0, 0.4939, 0.0, 0.0772, -0.25, -0.8126, -0.0772, -0.5267, -0.3612, 0.4939, -0.4767, 0.2023, 0.5994, 0.0, -0.3182, -0.6908, 0.3612, 0.3182, -0.7184, -0.6908, -0.6369, 0.7845, 0.3612, -0.7783, -0.1779, 0.0516, -0.7506, 0.25, -0.8442, 0.0, 0.0, -0.7351, -0.5859, -0.296, -0.3182, -0.3182, 0.1531, 0.4939, 0.0772, -0.128, 0.4019, -0.4215, -0.6808, -0.2755, 0.4588, 0.2732, -0.1779, 0.0772, 0.6908, -0.8591, -0.34, -0.4215, 0.296, 0.34, 0.0772, 0.936, 0.1027, 0.9337, -0.8555, 0.5574, -0.4939, -0.926, -0.6808, 0.0, -0.8591, 0.0, 0.296, 0.0, 0.2732, 0.5106, 0.5574, -0.296, 0.8271, 0.5994, 0.4019, 0.4019, -0.8074, 0.3612, -0.0516, 0.5994, -0.5859, 0.6705, 0.836, 0.7184, -0.1779, 0.4404, 0.0516, -0.7506, 0.2732, -0.6808, 0.1027, -0.7506, -0.6808, -0.891, -0.1027, 0.5719, 0.7351, 0.7845, -0.7579, -0.5423, -0.4588, 0.25, 0.8934, -0.872, -0.6486, -0.8689, 0.1531, 0.0, -0.5267, 0.0, 0.2732, 0.936, 0.0]"
How To Train Your Dragon,"animation,adventure,comedy","[-0.7964, -0.872, -0.5423, 0.4215, 0.296, 0.4019, 0.6908, -0.4019, 0.2263, -0.6249, 0.0258, -0.8519, 0.5574, 0.4215, 0.1531, 0.1351, -0.8425, -0.7506, -0.8885, -0.7906, -0.8271, -0.296, -0.6597, -0.6486, 0.381, -0.5994, 0.2263, 0.2023, 0.8979, -0.91, -0.1779, -0.2263, -0.8442, -0.8555, -0.6124, -0.8934, -0.802, -0.8219, -0.6486, 0.5574, 0.5859, 0.9485, 0.4939, -0.1027, -0.4588, -0.4215, 0.9231, 0.3612, 0.0772, 0.25, -0.9217, -0.7964, -0.9451, -0.6486, 0.8625, -0.1531, 0.2023, 0.2732, 0.3182, -0.9888, -0.9894, -0.4215, -0.8074, -0.4767, -0.8074, -0.5423, 0.1531, 0.6908, 0.6908, -0.4404, -0.3612, -0.8689, -0.926, -0.5574, 0.7579, 0.34, -0.0258, -0.8176, -0.5994, 0.2732, -0.8176, -0.7003, -0.3818, -0.836, -0.8176, -0.91, 0.4939, -0.34, -0.8402, 0.1027, 0.5574, 0.7003, -0.8658, -0.7906, -0.6486, -0.128, 0.9432, 0.3182, 0.3045, 0.743, 0.3612, -0.4404, -0.8043, 0.0258, -0.9744, -0.9349, -0.836, -0.6597, 0.91, -0.4939, 0.9612, 0.9501, 0.9485, 0.0258, 0.7152, -0.2023, -0.4019, -0.34, -0.8834, -0.9747, -0.128, -0.25, -0.8689, -0.8366, 0.0, -0.9584, -0.7906, -0.8481, -0.6486, -0.9396, 0.6808, -0.1027, -0.128, 0.7506, -0.8519, -0.5423, 0.7003, -0.9509, -0.9246, -0.6808, -0.9136, -0.9493, -0.9559, -0.7845, -0.9524, -0.9368, 0.0258, 0.836, -0.7184, -0.9682, 0.765, -0.8957, -0.8176, -0.836, -0.1779, -0.1027, 0.7506, 0.7269, -0.8481, 0.9246, -0.7003, -0.3182, -0.7964, -0.296, -0.8481, -0.8658, 0.6486, -0.9118, -0.886, -0.34, -0.8934, -0.2263, -0.9201, -0.296, -0.9382, -0.8481, -0.6124, 0.7717, -0.7579, -0.8442, -0.9169, -0.9022, -0.9451, -0.8658, -0.9628, -0.9716, -0.743, -0.9753, -0.5994, 0.8402, -0.5859, -0.9217, -0.8442, -0.5423, -0.7003, 0.9042, 0.0, -0.5423, -0.5574, -0.5267]"
10 Things I Hate About You,"comedy,romance","[-0.802, -0.25, 0.9274, -0.8591, 0.3612, 0.296, 0.2023, 0.296, 0.5574, 0.6808, -0.2732, -0.4588, 0.7096, -0.6908, -0.0202, 0.9413, 0.926, -0.25, 0.1779, -0.743, -0.3818, 0.8519, 0.6705, 0.4588, 0.6808, -0.7351, 0.5859, 0.6808, -0.3818, -0.4404, -0.1531, 0.5859, 0.0258, -0.7845, 0.7964, 0.4767, -0.0258, 0.128, 0.9136, -0.0258, -0.0516, -0.6486, 0.9022, 0.0, -0.5859, -0.4215, -0.2263, 0.836, 0.9287, 0.926, 0.7003, 0.802, 0.8934, 0.4939, 0.4939, 0.7351, -0.0026, -0.6705, 0.2732, 0.875, -0.4404, -0.8074, 0.7351, -0.6597, 0.6705, 0.6597, 0.8271, 0.5994, 0.8271, 0.8957, 0.91, 0.8316, 0.9081, 0.802, 0.1779, -0.8442, 0.8442, 0.7184, 0.8591, -0.5423, -0.765, -0.7096, 0.0772, 0.6369, 0.3612, 0.8957, -0.7096, -0.1027, -0.7845, -0.3632, 0.6124, 0.9501, -0.4215, 0.6597, -0.3612, -0.6249, 0.765, -0.2263, -0.7269, 0.7003, 0.0772, -0.25, -0.6124, -0.3818, 0.4588, -0.5859, 0.7351, 0.8834, 0.5859, 0.9001, 0.836, 0.7783, 0.5994, 0.25, 0.7845, 0.4215, 0.5859, 0.6808, 0.7783, 0.1027, -0.6597, 0.7722, -0.0772, -0.1531, 0.3612, -0.128, 0.5574, -0.7514, -0.5302, 0.9081, 0.7906, 0.9022, 0.9803, -0.8176, 0.5719, -0.4939, 0.9771, 0.3182, 0.4215, -0.5423, 0.7184, 0.7269, 0.6249, 0.5106, 0.872, 0.0258, 0.9524, 0.866, 0.6584, -0.4588, 0.6124, -0.8625, -0.1779, 0.9337, 0.1174, 0.4588, 0.2023, 0.8834, -0.34, -0.3818, -0.1531, -0.4019, -0.0258, 0.9118, 0.6597, -0.5267, 0.9118, 0.0094, -0.6486, 0.296, 0.9136, 0.3182, 0.9062, -0.2732, -0.0258, -0.7717, 0.7845, 0.9337, -0.2732, -0.9287, 0.8885, -0.128, -0.25, 0.5423, 0.2732, 0.891, 0.3612, 0.128, 0.8225, -0.8074, -0.8442, 0.7488, -0.2263, -0.875, -0.9882, 0.8658, 0.1779, 0.8176, 0.4215, 0.0]"
Scream,"horror,mystery,thriller","[0.1531, -0.25, 0.8271, 0.7184, 0.0, 0.7506, 0.296, -0.6369, -0.2484, -0.6936, 0.7003, 0.0258, -0.8591, 0.8591, -0.0258, -0.8316, -0.8658, -0.9062, 0.886, 0.0258, -0.3182, 0.25, -0.2732, 0.1531, -0.743, 0.1531, -0.8176, 0.743, 0.2732, -0.2263, -0.25, 0.6293, 0.9601, 0.8225, -0.9432, 0.8271, -0.9861, -0.9661, 0.5106, 0.8219, 0.6808, -0.0404, 0.5719, -0.9694, -0.9524, 0.0516, 0.8591, -0.6486, -0.6486, 0.4404, -0.8481, -0.7096, 0.1531, 0.6908, -0.9612, 0.5574, -0.4215, -0.875, -0.5859, -0.1027, -0.8402, 0.4215, 0.3182, -0.3612, 0.0, 0.8807, -0.5719, 0.4404, 0.2023, 0.5574, -0.1027, 0.891, 0.9501, -0.3818, 0.2732, -0.8316, -0.9847, -0.0547, -0.7209, -0.6486, -0.9451, 0.1531, -0.9565, -0.9186, -0.4939, -0.8658, -0.8979, -0.3612, -0.8807, -0.802, -0.8519, -0.3182, 0.8609, -0.9771, -0.9538, -0.1513, -0.9451, -0.9774, -0.6088, -0.2023, -0.5423, 0.4404, -0.5994, -0.7717, 0.8934, 0.8555, 0.9169, -0.1779, -0.5423, -0.6249, -0.3612, 0.296, 0.7478, 0.891, -0.9601, -0.9661, -0.9246, -0.743, -0.5859, 0.8689, -0.3818, -0.9287, 0.4939, -0.5106, 0.5267, 0.9274, 0.4019, -0.1531, -0.0258, -0.1531, 0.6908, 0.5106, -0.4939, -0.7845, 0.7579, 0.0, -0.4767, -0.8271, 0.128, -0.9524, -0.7717, -0.7506, -0.872, 0.6908, 0.4767, -0.9758, 0.9042, 0.296, -0.8519, -0.2444, 0.9485, 0.1531, 0.1531, -0.9136, 0.2732, 0.5719, -0.9509, -0.6412, -0.8271, 0.7003, 0.7717, -0.9371, -0.8834, -0.3612, -0.7003, -0.8785, -0.8271, -0.802, -0.2263, -0.4019, -0.3612, -0.2263, -0.743, -0.8885, -0.9633, -0.7579, -0.4404, -0.6124, -0.9349, -0.5994, -0.8271, -0.9169, -0.8625, -0.1779, -0.8689, -0.8126, -0.2732, -0.9524, -0.9868, -0.836, -0.9712, -0.8591, -0.9524, -0.9582, -0.9559, -0.9738, -0.7906, -0.8591, -0.6705, 0.7976]"
12 And Holding,drama,"[-0.2263, 0.296, -0.9382, -0.9661, 0.4767, -0.8519, 0.8074, -0.5719, -0.7096, -0.8402, 0.6597, -0.6124, 0.0, -0.2263, 0.8225, 0.9346, 0.4105, 0.926, -0.3818, 0.4215, 0.2263, 0.0258, 0.7003, -0.0772, -0.6908, -0.7096, -0.2263, -0.9678, -0.1027, -0.5106, -0.7096, 0.296, -0.8074, -0.7269, 0.2023, -0.8934, 0.7845, -0.6908, 0.7096, -0.836, -0.7269, 0.875, 0.2732, 0.9738, 0.8126, 0.4939, -0.128, -0.0772, 0.9042, 0.9231, -0.7269, -0.3818, -0.6249, 0.9001, 0.7096, 0.926, 0.0, -0.8625, 0.34, 0.9201, -0.0258, -0.25, 0.5267, 0.8885, 0.7096, 0.7269, 0.7096, -0.765, -0.9001, -0.6705, -0.2263, 0.6486, -0.5719, -0.1027, 0.8779, 0.3906, -0.7902, -0.9719, 0.6808, 0.0258, 0.5423, -0.9335, -0.7579, -0.9403, 0.5574, 0.7351, -0.7269, -0.886, 0.5106, -0.2023, 0.6597, 0.8442, 0.8316, 0.8402, 0.9796, 0.9062, 0.8591, 0.765, 0.9313, 0.8957, 0.9153, 0.8126, 0.3612, 0.7269, -0.5859, 0.8809, 0.0772, 0.2023, 0.4939, -0.0516, 0.6486, -0.7783, 0.8658, -0.3818, -0.9274, -0.836, -0.7964, 0.4215, 0.836, -0.0772, -0.2023, 0.6486, -0.34, 0.3612, -0.8957, 0.6124, 0.2023, 0.0258, -0.4588, -0.8658, -0.1779, 0.8625, -0.5267, 0.4588, 0.743, 0.886, 0.4215, 0.9531, 0.8074, -0.5719, 0.7184, 0.0, 0.2023, 0.8402, 0.5994, 0.0772, 0.6908, 0.3612, 0.9001, -0.7906, -0.7506, -0.296, -0.8689, -0.7748, 0.6705, -0.1027, 0.9217, 0.7964, 0.9501, 0.8934, 0.9633, -0.0258, 0.3612, 0.0, -0.0516, 0.802, 0.1531, -0.9393, -0.7717, -0.4445, 0.6908, -0.9313, -0.34, -0.0258, -0.8271, -0.4019, -0.9034, -0.7906, 0.3612, 0.4019, 0.9666, 0.9442, 0.2732, 0.1779, 0.6249, 0.9118, 0.9118, 0.802, 0.4588, 0.2023, -0.8689, -0.8555, -0.9274, -0.93, -0.5719, 0.7717, -0.0516, -0.7964, -0.743, -0.5583]"
Groundhog Day,"comedy,fantasy,romance","[0.4767, -0.4019, 0.7269, -0.4215, 0.3182, -0.9217, 0.7096, 0.5267, 0.9062, 0.9325, -0.1027, 0.5267, 0.7003, -0.4588, 0.5267, 0.9081, 0.6124, 0.9432, 0.9761, 0.6124, 0.4404, 0.8126, 0.5594, 0.8807, -0.8519, 0.296, 0.0516, 0.5994, -0.0772, 0.5423, 0.6486, 0.8074, 0.9201, 0.5106, -0.5719, 0.7261, 0.6249, -0.9081, -0.1027, -0.4767, 0.6486, 0.6249, 0.9358, 0.34, -0.872, -0.296, 0.6705, 0.7096, -0.8957, -0.4404, 0.7003, 0.0, 0.8007, -0.8176, -0.6369, 0.1513, 0.6597, 0.6249, 0.296, 0.2023, -0.34, -0.4215, 0.5106, -0.7351, -0.7003, 0.0772, 0.4588, 0.7351, 0.9042, 0.3612, 0.5267, 0.7351, 0.5574, 0.8519, 0.5574, -0.5719, 0.8591, 0.5267, -0.6124, 0.8979, 0.6217, 0.7351, -0.5994, 0.875, -0.6486, -0.0258, 0.7964, -0.4588, -0.2263, 0.8957, -0.2732, 0.5859, 0.902, 0.1779, 0.9531, 0.9153, 0.743, 0.8779, -0.2263, -0.2023, 0.3182, -0.6275, 0.5423, 0.8591, 0.4404, 0.9001, 0.7964, 0.9169, 0.2263, 0.836, -0.25, -0.5994, 0.4939, 0.5574, 0.8271, -0.6369, 0.8807, 0.8438, 0.8481, -0.0258, -0.8694, 0.1027, 0.7964, 0.296, 0.2263, 0.8625, 0.128, -0.25, -0.5574, 0.1027, -0.7096, -0.6124, -0.1531, -0.6124, -0.2263, 0.7845, -0.5267, -0.34, 0.5859, -0.2263, -0.5423, -0.9001, -0.9022, 0.5267, -0.5423, 0.5574, 0.7845, -0.0258, 0.8779, 0.3612, 0.7269, 0.7003, 0.6124, 0.6908, 0.7003, 0.552, -0.8442, -0.4588, 0.9578, 0.9169, 0.128, 0.765, 0.9819, 0.9324, 0.9803, 0.743, 0.3182, 0.0516, 0.6597, 0.6124, 0.9081, 0.4939, 0.6249, 0.5859, -0.9477, -0.2732, 0.9638, -0.4767, 0.7579, 0.8555, -0.7351, 0.6249, -0.7184, -0.4993, 0.6908, 0.1531, 0.93, 0.8689, 0.836, 0.8078, 0.8979, 0.8957, 0.9136, 0.8957, 0.8834, 0.9601, 0.8658, 0.9643, 0.6802, 0.0]"
Black Panther,"action,adventure,sci-fi","[0.2263, 0.9403, 0.0, 0.128, 0.25, -0.5994, 0.8481, -0.296, -0.8442, -0.4767, -0.9501, 0.3612, -0.3612, 0.4215, -0.8074, -0.872, -0.8591, -0.1779, -0.5994, 0.7269, 0.5859, 0.836, 0.7351, 0.9274, -0.34, -0.1027, 0.9231, 0.7096, 0.0, -0.4523, 0.9442, 0.6597, -0.1779, -0.2023, 0.0, -0.9169, 0.7096, 0.6369, 0.5423, 0.9783, -0.8957, 0.9287, -0.891, -0.3182, 0.296, -0.8807, -0.4939, -0.0946, 0.4939, 0.9545, 0.5859, 0.5994, -0.7845, 0.7845, -0.5106, 0.9287, 0.9531, 0.8074, 0.381, -0.4767, 0.128, -0.6808, 0.8625, 0.0, -0.1779, 0.8925, -0.34, 0.4588, 0.7003, 0.0516, 0.3612, 0.8807, 0.1027, -0.6486, -0.872, -0.9694, -0.8402, -0.296, 0.6249, 0.2023, -0.8402, -0.6808, -0.128, -0.8591, 0.0516, -0.802, -0.4019, -0.5423, -0.5267, 0.34, -0.34, -0.8176, 0.6124, -0.6486, -0.5719, 0.765, 0.4215, 0.946, 0.4404, 0.8834, 0.4939, -0.296, 0.0, 0.0772, 0.5267, -0.7845, -0.4404, -0.0772, -0.7003, 0.7096, -0.8689, -0.7906, -0.9231, -0.1779, 0.4404, 0.3818, -0.9501, -0.9709, -0.7269, -0.0, 0.3612, -0.5267, -0.34, 0.1531, 0.7096, -0.3818, -0.0258, 0.7906, 0.7184, -0.4019, 0.0772, 0.5423, -0.1531, -0.967, -0.9531, -0.5106, -0.9062, -0.891, -0.9432, 0.6908, 0.9337, -0.6369, 0.765, -0.9382, 0.3182, -0.9246, 0.128, -0.34, -0.6015, -0.6369, 0.8074, -0.926, 0.7269, -0.128, -0.3818, 0.0, -0.9382, 0.9118, 0.4404, 0.836, 0.802, 0.6486, -0.128, 0.8658, -0.3309, -0.4767, -0.6705, 0.6705, -0.875, 0.8271, 0.8807, 0.3182, 0.0258, -0.9062, 0.4019, -0.9442, -0.958, 0.1027, 0.3257, -0.2023, 0.8658, -0.9201, -0.5267, -0.6369, 0.0, -0.3687, -0.6808, 0.5106, -0.8271, -0.8519, -0.8225, 0.128, 0.9117, -0.7184, 0.2732, -0.1531, 0.1027, 0.6249, 0.875, 0.8779]"
12 Years A Slave,drama,"[0.9246, 0.9493, 0.9735, 0.8481, 0.9325, 0.8074, 0.34, 0.8779, 0.9153, 0.9349, 0.9565, 0.9231, 0.5423, 0.4939, 0.7845, 0.9062, 0.9432, 0.7269, 0.5106, 0.9788, 0.9217, -0.2263, 0.6808, -0.7096, 0.4588, -0.7717, 0.9169, -0.4939, -0.4404, -0.4939, -0.8402, 0.743, -0.8689, 0.6124, 0.4588, 0.5859, 0.6705, -0.3182, 0.8885, 0.8402, -0.7351, -0.5574, 0.5994, -0.7096, 0.4215, -0.9062, -0.0, -0.9432, 0.25, 0.7579, 0.9217, 0.9451, 0.875, 0.7964, 0.1531, 0.8689, 0.9834, 0.9744, 0.9771, 0.9758, 0.8442, 0.63, 0.9819, -0.2354, 0.0772, -0.4939, -0.9952, -0.9949, 0.25, 0.9246, 0.946, 0.8074, -0.0772, 0.7845, -0.2732, 0.6369, 0.8934, 0.95, -0.9792, 0.8481, 0.6369, 0.9153, -0.7351, -0.9719, 0.886, 0.8126, -0.34, -0.9042, -0.9371, -0.7351, 0.5719, -0.7564, -0.93, -0.9062, -0.7039, 0.4767, 0.2732, 0.1027, -0.6249, -0.8492, 0.6407, -0.2732, 0.128, -0.9657, 0.0, 0.9648, 0.8779, -0.8885, 0.1779, 0.9432, 0.0516, -0.8519, -0.25, 0.5994, 0.7579, 0.7506, -0.6249, 0.9694, -0.1531, -0.836, 0.6705, -0.8625, -0.9081, -0.379, -0.9337, 0.7269, 0.836, -0.9544, -0.4019, 0.2533, -0.296, -0.9313, -0.6908, 0.2732, 0.25, 0.4404, 0.8798, 0.3182, 0.8402, 0.1027, 0.8979, -0.9451, 0.2486, 0.7736, -0.9231, 0.743, 0.7783, 0.9678, -0.8316, 0.8591, 0.8555, -0.7003, 0.1779, -0.1027, 0.7579, 0.1027, 0.7758, 0.4939, 0.8658, 0.7506, -0.886, 0.9552, 0.9601, 0.6369, 0.875, 0.34, -0.7845, 0.8402, 0.4767, 0.9552, 0.93, -0.875, -0.0772, -0.7506, -0.9231, 0.34, 0.3182, -0.34, 0.3182, -0.9712, -0.9531, -0.9879, 0.7351, 0.7351, 0.6124, 0.9657, 0.8625, 0.802, 0.891, 0.8519, 0.7122, 0.0, 0.3182, -0.872, -0.9403, -0.743, 0.1027, 0.1779, 0.6486, 0.9153]"
12 Monkeys,"drama,sci-fi,thriller","[0.2023, -0.5994, -0.8809, 0.7096, -0.7351, 0.2732, 0.743, -0.6369, -0.5574, -0.2732, 0.4767, 0.8176, -0.6705, 0.8225, 0.8519, -0.6369, 0.34, -0.9136, 0.9496, 0.1531, -0.1027, -0.8176, 0.8689, 0.6908, 0.8316, -0.7783, 0.7964, 0.6808, 0.9349, -0.34, 0.926, -0.91, -0.3182, 0.6688, 0.7184, -0.5106, 0.0516, -0.2732, 0.8617, 0.6908, -0.9766, 0.4588, 0.7096, 0.5719, 0.7003, 0.8519, 0.5574, -0.1531, 0.7425, -0.4767, -0.7845, -0.5106, 0.5423, 0.4767, -0.8402, -0.8271, -0.7717, -0.4588, 0.8779, -0.6486, -0.8176, 0.6597, -0.5994, -0.6369, -0.9873, -0.8329, -0.8225, 0.7783, -0.1531, -0.8271, -0.8779, 0.25, -0.7783, 0.872, -0.5267, -0.6486, 0.9136, 0.7491, 0.8885, 0.0516, 0.7845, -0.7351, 0.0772, -0.8225, -0.8225, 0.2263, -0.4767, -0.9118, -0.9042, -0.8779, 0.5994, -0.2732, -0.8316, 0.9201, -0.9524, 0.8316, -0.5719, 0.8481, -0.4588, -0.25, 0.9325, -0.9477, 0.802, -0.9501, -0.5859, -0.5141, -0.765, 0.9201, 0.7351, -0.8612, 0.872, 0.6908, -0.4404, -0.9153, 0.4939, -0.34, -0.7096, -0.7184, -0.985, 0.9022, 0.926, 0.9485, 0.802, -0.3182, -0.3818, -0.886, 0.9607, 0.5106, 0.9118, -0.9628, -0.5106, 0.7269, 0.2263, 0.6369, -0.7845, -0.4939, 0.5994, 0.2263, 0.6369, -0.9313, -0.9325, 0.4939, 0.5267, -0.4019, 0.9118, -0.1226, 0.9274, 0.3612, -0.0772, -0.3612, -0.5106, 0.2732, 0.2263, -0.4019, -0.624, -0.8225, -0.2732, -0.8934, -0.93, -0.6369, 0.9837, -0.5994, 0.6808, 0.872, 0.743, 0.7783, -0.9766, -0.8779, 0.8625, -0.7096, 0.4767, -0.4939, 0.4588, 0.7906, 0.5106, 0.3182, 0.7184, -0.6249, 0.1779, 0.872, 0.765, 0.9349, -0.7506, -0.0516, 0.5859, 0.7964, -0.5574, 0.8934, -0.5267, 0.765, 0.5423, 0.8979, 0.9062, 0.5267, -0.1027, -0.7906, 0.5267, -0.5859, -0.2975, 0.5106]"
